port_name,country,latitude,longitude,port_size,water_body,shelter,max_vessel_size
Maurer,United States,40.533333,-74.25,Very Small,North Atlantic Ocean,Good,0.0
Iharana,Madagascar,-13.35,50.0,Very Small,Indian Ocean,Good,0.0
Chake Chake,Tanzania,-5.25,39.766667,Small,Indian Ocean,Fair,0.0
Mjimwema Terminal,Tanzania,-6.816667,39.366667,Very Small,Indian Ocean,Poor,0.0
Delta Terminal,Turkey,36.85,36.166667,Very Small,Mediterranean Sea; North Atlantic Ocean,Poor,0.0
Cinta Oil Terminal,Indonesia,-5.5,106.233333,Very Small,"Indian Ocean, Java Sea; South Pacific Ocean",Poor,0.0
Europa Point,Gibraltar,36.133333,-5.35,Medium,Strait of Gibraltar; North Atlantic Ocean,Good,0.0
New Harbor,United States,43.866667,-69.483333,Very Small,North Atlantic Ocean,Fair,0.0
Dtse / Gegua Oil Terminal,Brazil,-22.816667,-43.15,Medium,South Atlantic Ocean,Fair,0.0
Sharmah,Saudi Arabia,27.933333,35.25,Very Small,Red Sea; Indian Ocean,Poor,0.0
Norsworthy,United States,29.733333,-95.2,Very Small,Gulf of Mexico; North Atlantic Ocean,Good,0.0
Minturn,United States,44.15,-68.45,Very Small,North Atlantic Ocean,Good,0.0
Criehaven,United States,43.833333,-68.883333,Very Small,North Atlantic Ocean,Poor,0.0
North Point,"Saint Helena, Ascension, and Tristan da Cunha",-7.883333,-14.366667,Small,South Atlantic Ocean,Poor,0.0
Bongkot Terminal,Thailand,8.05,102.333333,Very Small,Gulf of Thailand; South China Sea; North Pacific Ocean,Poor,0.0
Donggala,Indonesia,-0.65,119.733333,Very Small,Makassar Strait; South Pacific Ocean,Fair,0.0
Larimna,Greece,38.566667,23.283333,Very Small,Aegean Sea; Mediterranean Sea; North Atlantic Ocean,Good,0.0
Hornillo,Spain,37.4,-1.55,Very Small,Mediterranean Sea; North Atlantic Ocean,Fair,0.0
Melilli Oil Terminal,Italy,37.116667,15.25,Very Small,Mediterranean Sea; North Atlantic Ocean,Fair,0.0
Al Khair Oil Terminal,Sudan,19.583333,37.25,Small,Red Sea; Indian Ocean,Unknown,0.0
Corea,United States,44.4,-67.966667,Very Small,North Atlantic Ocean,Fair,0.0
Margosatubig,Philippines,7.583333,123.166667,Very Small,Celebes Sea; North Pacific Ocean,Excellent,0.0
Arzew El Djedid,Algeria,35.816667,-0.25,Small,Mediterranean Sea; North Atlantic Ocean,Poor,0.0
Karabane,Senegal,12.566667,-16.666667,Very Small,North Atlantic Ocean,Good,0.0
Caleta Mina Elena,Chile,-52.683333,-71.9,Very Small,South Pacific Ocean,Fair,0.0
Monhegan,United States,43.766667,-69.316667,Very Small,North Atlantic Ocean,Poor,0.0
Northeast Harbor,United States,44.3,-68.283333,Very Small,North Atlantic Ocean,Fair,0.0
Bucks Harbor,United States,44.333333,-68.733333,Very Small,North Atlantic Ocean,Good,0.0
Matinicus,United States,43.866667,-68.883333,Very Small,North Atlantic Ocean,Fair,0.0
Malong Marine Terminal,Malaysia,4.633333,104.816667,Very Small,South China Sea; North Pacific Ocean,Poor,0.0
Admiralty Bay,Antarctica,-62.083333,-58.416667,Very Small,Bransfield Strait; Drake Passage; South Atlantic Ocean,Good,0.0
Melchior Harbor,Antarctica,-64.316667,-63.0,Very Small,South Pacific Ocean,Poor,0.0
Grasselli,United States,40.616667,-74.2,Small,North Atlantic Ocean,Good,0.0
Aksaz Limani,Turkey,36.833333,28.383333,Small,Mediterranean Sea; North Atlantic Ocean,Unknown,0.0
Egina Oil Terminal,Nigeria,3.066667,6.7,Very Small,Gulf of Guinea; North Atlantic Ocean,Poor,0.0
Antsohim Bondrona,Madagascar,-13.083333,48.833333,Very Small,Mozambique Channel; Indian Ocean,Fair,0.0
Ayios Nikolaos,Greece,37.983333,23.533333,Very Small,Aegean Sea; Mediterranean Sea; North Atlantic Ocean,Fair,0.0
Borusan Fertilizer Jetty,Turkey,40.416667,29.1,Very Small,Sea of Marmara; Mediterranean Sea; North Atlantic Ocean,Fair,0.0
Ellefsen Harbor,Antarctica,-60.733333,-45.033333,Very Small,Scotia Sea; South Atlantic Ocean,Good,0.0
Andersen Harbor,Antarctica,-64.316667,-62.933333,Very Small,South Pacific Ocean,Poor,0.0
Baie Du Marigot,France,18.066667,-63.083333,Very Small,Caribbean Sea; North Atlantic Ocean,Good,0.0
Coles Bay Oil Terminal,Sint Maarten,18.016667,-63.083333,Small,Caribbean Sea; North Atlantic Ocean,Fair,0.0
Zafarana Terminal,Egypt,29.166667,32.683333,Very Small,Gulf of Suez; Red Sea; Indian Ocean,Poor,0.0
Suizhang Gang,China,40.066667,121.05,Very Small,Bo Hai; Yellow Sea; North Pacific Ocean,,0.0
Yetagun Marine Terminal,Burma,13.05,96.85,Very Small,Andaman Sea; Indian Ocean,Poor,0.0
Zeit Bay Lpg Terminal,Egypt,27.8,33.566667,Very Small,Gulf of Suez; Red Sea; Indian Ocean,Poor,0.0
Tanjungredeb,Indonesia,2.15,117.483333,Small,Celebes Sea; North Pacific Ocean,Good,0.0
Santa Clara,Philippines,7.783333,122.683333,Very Small,Celebes Sea; North Pacific Ocean,Fair,0.0
Punta Nizao Oil Terminal,Dominican Republic,18.2,-70.2,Small,Caribbean Sea; North Atlantic Ocean,Fair,0.0
Phsar Ream,Cambodia,10.5,103.6,Very Small,Gulf of Thailand; South China Sea; North Pacific Ocean,Fair,0.0
Tanjung Gerem,Indonesia,-5.966667,105.983333,Very Small,"Indian Ocean, Java Sea; South Pacific Ocean",Poor,0.0
Ras Al Ghar,Saudi Arabia,26.9,49.866667,Very Small,Persian Gulf; Indian Ocean,Fair,0.0
Port Socony,United States,40.55,-74.25,Small,North Atlantic Ocean,Good,0.0
Puerto Botado,Dominican Republic,19.2,-69.45,Very Small,North Atlantic Ocean,Fair,0.0
Port Lockroy,Antarctica,-64.816667,-63.5,Very Small,South Pacific Ocean,Poor,0.0
Tarempah,Indonesia,3.216667,106.216667,Very Small,South China Sea; North Pacific Ocean,Fair,0.0
Tahuna,Indonesia,3.616667,125.483333,Very Small,Celebes Sea; North Pacific Ocean,Good,0.0
Scotia Bay,Antarctica,-60.75,-44.716667,Very Small,Scotia Sea; South Atlantic Ocean,Poor,0.0
Port Est,Reunion,-20.933333,55.316667,Small,Indian Ocean,Fair,0.0
Vrakhonisis Kallonis,Greece,39.083333,26.083333,Very Small,Aegean Sea; Mediterranean Sea; North Atlantic Ocean,Good,0.0
Port Methanier,Algeria,36.883333,6.95,Small,Mediterranean Sea; North Atlantic Ocean,Fair,0.0
Puerto Este,Honduras,16.083333,-86.9,Very Small,Caribbean Sea; North Atlantic Ocean,Good,0.0
Port Du Havre-Antifer,France,49.65,0.15,Small,English Channel; North Atlantic Ocean,Fair,0.0
Pemaquid Beach,United States,43.866667,-69.533333,Very Small,North Atlantic Ocean,Fair,0.0
Porto Di Malamocco,Italy,45.333333,12.316667,Very Small,Adriatic Sea; Mediterranean Sea; North Atlantic Ocean,Good,0.0
Psvm Terminal,Angola,-6.25,10.733333,Very Small,South Atlantic Ocean,Poor,0.0
Port Ouest,Reunion,-20.933333,55.283333,Small,Indian Ocean,Fair,0.0
Sinco,United States,29.716667,-95.233333,Very Small,Gulf of Mexico; North Atlantic Ocean,Good,0.0
Prince Olav Harbor,South Georgia and South Sandwich Islands,-54.033333,-37.15,Very Small,South Atlantic Ocean,Good,0.0
Robinhood,United States,43.85,-69.733333,Very Small,North Atlantic Ocean,Good,0.0
Port Clyde,United States,43.916667,-69.25,Very Small,North Atlantic Ocean,Good,0.0
Stilis,Greece,38.916667,22.616667,Very Small,Aegean Sea; Mediterranean Sea; North Atlantic Ocean,Fair,0.0
Stromness Harbor,South Georgia and South Sandwich Islands,-54.15,-36.7,Very Small,South Atlantic Ocean,Fair,0.0
Victoria,Guinea,10.816667,-14.566667,Very Small,North Atlantic Ocean,Good,0.0
Friendship,United States,43.966667,-69.333333,Very Small,North Atlantic Ocean,Good,0.0
Bucksport,United States,44.566667,-68.783333,Very Small,North Atlantic Ocean,Good,0.0
Houston,United States,29.75,-95.28333300000001,Large,Gulf of Mexico; North Atlantic Ocean,Good,0.0
Aratu,Brazil,-12.783333,-38.5,Small,South Atlantic Ocean,Fair,0.0
Matthew Town,The Bahamas,20.95,-73.683333,Very Small,North Atlantic Ocean,Good,0.0
Newburyport,United States,42.816667,-70.866667,Very Small,North Atlantic Ocean,Good,0.0
Ceiba Hueca,Cuba,20.216667,-77.31666699999998,Very Small,Caribbean Sea; North Atlantic Ocean,Poor,0.0
Dalian,China,38.916667,121.666667,Large,Yellow Sea; North Pacific Ocean,Good,0.0
Elat,Israel,29.55,34.95,Small,Gulf of Aqaba; Red Sea; Indian Ocean,Fair,0.0
El Ghardaqa,Egypt,27.216667,33.85,Very Small,Gulf of Suez; Red Sea; Indian Ocean,Fair,0.0
Antsiranana,Madagascar,-12.266667,49.283333,Small,Indian Ocean,Good,0.0
Kismaayo,Somalia,-0.366667,42.55,Very Small,Indian Ocean,Good,0.0
Mombasa,Kenya,-4.066667,39.666667,Medium,Indian Ocean,Good,0.0
Dakar,Senegal,14.683333,-17.433333,Medium,North Atlantic Ocean,Good,0.0
Kharg Island Oil Terminal,Iran,29.233333,50.333333,Small,Persian Gulf; Indian Ocean,Good,0.0
Bandar-E Mahshahr,Iran,30.466667,49.183333,Small,Persian Gulf; Indian Ocean,Good,0.0
Itea,Greece,38.433333,22.416667,Very Small,Ionian Sea; Mediterranean Sea; North Atlantic Ocean,Poor,0.0
Dubrovnik,Croatia,42.666667,18.083333,Small,Adriatic Sea; Mediterranean Sea; North Atlantic Ocean,Fair,0.0
Livorno,Italy,43.542,10.29,Large,Ligurian Sea; Mediterranean Sea; North Atlantic Ocean,Good,0.0
Monaco,Monaco,43.733333,7.416667,Very Small,Mediterranean Sea; North Atlantic Ocean,Good,0.0
La Coruna,Spain,43.366667,-8.4,Small,North Atlantic Ocean,Excellent,0.0
Le Verdon,France,45.55,-1.05,Small,Bay of Biscay; North Atlantic Ocean,Fair,0.0
Astakos,Greece,38.483333,21.1,Small,Ionian Sea; Mediterranean Sea; North Atlantic Ocean,Fair,0.0
Mesolongion,Greece,38.366667,21.416667,Very Small,Ionian Sea; Mediterranean Sea; North Atlantic Ocean,Poor,0.0
Abu Khammash,Libya,33.066667,11.816667,Very Small,Mediterranean Sea; North Atlantic Ocean,,0.0
M Bao Oil Terminal,Senegal,14.716667,-17.4,Very Small,North Atlantic Ocean,Poor,0.0
Agbami Oil Terminal,Nigeria,3.466667,5.566667,Very Small,Gulf of Guinea; North Atlantic Ocean,Poor,0.0
Andros,Greece,37.833333,24.95,Very Small,Aegean Sea; Mediterranean Sea; North Atlantic Ocean,Fair,0.0
Oporto,Portugal,41.15,-8.666667,Very Small,North Atlantic Ocean,Good,0.0
Lushun,China,38.783333,121.25,Very Small,Yellow Sea; North Pacific Ocean,Fair,0.0
Belanak Field Terminal,Indonesia,4.15,106.25,Very Small,South China Sea; North Pacific Ocean,Poor,0.0
Fiumicino,Italy,41.772,12.214,Small,Tyrrhenian Sea; Mediterranean Sea; North Atlantic Ocean,Fair,0.0
Chinde,Mozambique,-18.566667,36.5,Small,Mozambique Channel; Indian Ocean,Fair,0.0
Maintirano,Madagascar,-18.066667,44.016667,Very Small,Mozambique Channel; Indian Ocean,Poor,0.0
Maroantsetra,Madagascar,-15.45,49.816667,Very Small,Indian Ocean,Fair,0.0
Kendari,Indonesia,-3.966667,122.583333,Very Small,Banda Sea; South Pacific Ocean,Good,0.0
Choshi,Japan,35.733333,140.85,Very Small,North Pacific Ocean,Fair,0.0
Amagasaki,Japan,34.7,135.383333,Small,Sea of Japan; North Pacific Ocean,Fair,0.0
Dhekelia,Cyprus,34.966667,33.716667,Very Small,Mediterranean Sea; North Atlantic Ocean,Poor,0.0
Ashdod,Israel,31.816667,34.65,Small,Mediterranean Sea; North Atlantic Ocean,Fair,0.0
Mostaganem,Algeria,35.933333,0.083333,Very Small,Mediterranean Sea; North Atlantic Ocean,Good,0.0
Greater Plutonio Terminal,Angola,-7.833333,12.1,Very Small,South Atlantic Ocean,Poor,0.0
Krabi,Thailand,8.066667,98.916667,Very Small,Andaman Sea; Indian Ocean,Good,0.0
Antalya Offshore Terminal,Turkey,36.816667,30.6,Very Small,Mediterranean Sea; North Atlantic Ocean,Poor,0.0
Antalya,Turkey,36.833333,30.616667,Small,Mediterranean Sea; North Atlantic Ocean,Poor,0.0
Arzew,Algeria,35.85,-0.3,Small,Mediterranean Sea; North Atlantic Ocean,Good,0.0
Moudi Marine Terminal,Cameroon,4.116667,8.483333,Very Small,Gulf of Guinea; North Atlantic Ocean,Poor,0.0
Kuantan New Port,Malaysia,3.966667,103.433333,Small,South China Sea; North Pacific Ocean,Good,0.0
Achladi,Greece,38.9,22.816667,Very Small,Aegean Sea; Mediterranean Sea; North Atlantic Ocean,Fair,0.0
Lajes,Portugal,38.4,-28.266667,Very Small,North Atlantic Ocean,Unknown,0.0
Alicante,Spain,38.333333,-0.483333,Medium,Mediterranean Sea; North Atlantic Ocean,Fair,0.0
Iraklion,Greece,35.35,25.15,Medium,Aegean Sea; Mediterranean Sea; North Atlantic Ocean,Good,0.0
Venterminals,Venezuela,10.483333,-68.033333,Very Small,Caribbean Sea; North Atlantic Ocean,Fair,0.0
Norfolk,United States,36.85,-76.29999999999998,Large,North Atlantic Ocean,Excellent,0.0
Ishigaki,Japan,24.333333,124.166667,Very Small,East China Sea; North Pacific Ocean,Fair,0.0
Greenport,United States,41.1,-72.366667,Very Small,North Atlantic Ocean,Good,0.0
Villefranche,France,43.7,7.316667,Very Small,Mediterranean Sea; North Atlantic Ocean,Good,0.0
Searsport,United States,44.45,-68.916667,Small,North Atlantic Ocean,Good,0.0
Porto Di Oristano,Italy,39.866667,8.55,Small,Mediterranean Sea; North Atlantic Ocean,Unknown,0.0
Toulon,France,43.1,5.916667,Large,Mediterranean Sea; North Atlantic Ocean,Excellent,0.0
Pedregal,Panama,8.35,-82.433333,Small,North Pacific Ocean,Good,0.0
Praia De Vitoria,Portugal,38.716667,-27.05,Very Small,North Atlantic Ocean,Fair,0.0
Ortona,Italy,42.35,14.416667,Small,Adriatic Sea; Mediterranean Sea; North Atlantic Ocean,Good,0.0
Rockport,United States,44.183333,-69.066667,Very Small,North Atlantic Ocean,Good,0.0
Vila Real De S Antonio,Portugal,37.183333,-7.4,Very Small,North Atlantic Ocean,Good,0.0
Sarroch Oil Terminal,Italy,39.083333,9.033333,Medium,Mediterranean Sea; North Atlantic Ocean,Excellent,0.0
San Juan De La Costa,Mexico,24.4,-110.7,Very Small,Gulf of California; North Pacific Ocean,Poor,0.0
Porto Ponte Romano,Italy,39.05,8.466667,Very Small,Mediterranean Sea; North Atlantic Ocean,Fair,0.0
Winter Harbor,United States,44.383333,-68.083333,Very Small,North Atlantic Ocean,Good,0.0
Ponta Delgada,Portugal,37.733333,-25.666667,Small,North Atlantic Ocean,Good,0.0
Taranto,Italy,40.466667,17.2,Large,Golfo di Taranto; Mediterranean Sea; North Atlantic Ocean,Good,0.0
New Castle,United States,39.65,-75.56666699999998,Very Small,North Atlantic Ocean,Good,0.0
Tanger,Morocco,35.783333,-5.816667,Medium,Strait of Gibraltar; North Atlantic Ocean,Good,0.0
Pebane,Mozambique,-17.266667,38.15,Small,Mozambique Channel; Indian Ocean,Fair,0.0
Stratoni,Greece,40.516667,23.833333,Very Small,Aegean Sea; Mediterranean Sea; North Atlantic Ocean,Fair,0.0
Yerakini,Greece,40.266667,23.466667,Very Small,Aegean Sea; Mediterranean Sea; North Atlantic Ocean,Fair,0.0
Plomarion,Greece,38.983333,26.366667,Very Small,Aegean Sea; Mediterranean Sea; North Atlantic Ocean,Poor,0.0
Ploce,Croatia,43.05,17.433333,Very Small,Adriatic Sea; Mediterranean Sea; North Atlantic Ocean,Fair,0.0
Tsingeli,Greece,39.166667,22.85,Very Small,Aegean Sea; Mediterranean Sea; North Atlantic Ocean,Fair,0.0
Santo Antonio,Sao Tome and Principe,1.65,7.45,Very Small,Gulf of Guinea; North Atlantic Ocean,Fair,0.0
Saltpond,Ghana,5.2,-1.05,Very Small,Gulf of Guinea; North Atlantic Ocean,Poor,0.0
Saiki Ko,Japan,32.966667,131.933333,Small,East China Sea; North Pacific Ocean,Fair,0.0
Zamboanga,Philippines,6.9,122.066667,Small,Celebes Sea; North Pacific Ocean,Good,0.0
Ras Gharib,Egypt,28.35,33.1,Very Small,Gulf of Suez; Red Sea; Indian Ocean,Poor,0.0
Pulupandan,Philippines,10.516667,122.8,Very Small,Sulu Sea; North Pacific Ocean,Poor,0.0
Portsmouth,United States,36.816667,-76.29999999999998,Small,North Atlantic Ocean,Excellent,0.0
Ujung Pandang,Indonesia,-5.133333,119.4,Medium,Makassar Strait; South Pacific Ocean,Fair,0.0
Philadelphia,United States,39.95,-75.13333299999998,Large,North Atlantic Ocean,Good,0.0
Tanjungpandan,Indonesia,-2.75,107.633333,Very Small,Natuna Sea; South China Sea; South Pacific Ocean,Excellent,0.0
Uwajima Ko,Japan,33.216667,132.566667,Very Small,Sea of Japan; North Pacific Ocean,Poor,0.0
Salem Nj,United States,39.666667,-75.483333,Very Small,North Atlantic Ocean,Excellent,0.0
Isthmus Cove,United States,33.45,-118.5,Very Small,North Pacific Ocean,Fair,0.0
Yerbabuena Island,United States,37.816667,-122.366667,Very Small,North Pacific Ocean,Excellent,0.0
Ventura,United States,34.283333,-119.283333,Very Small,North Pacific Ocean,Poor,0.0
Prisoners,United States,34.016667,-119.683333,Very Small,North Pacific Ocean,Poor,0.0
Ireland Island,Bermuda,32.316667,-64.833333,Medium,North Atlantic Ocean,Good,0.0
Clifton Pier,The Bahamas,25.0,-77.54999999999998,Very Small,North Atlantic Ocean,Fair,0.0
Girassol Terminal,Angola,-7.65,11.683333,Very Small,South Atlantic Ocean,Poor,0.0
Dalia Terminal,Angola,-7.683333,11.766667,Very Small,South Atlantic Ocean,Poor,0.0
Port Foster,Antarctica,-62.95,-60.633333,Very Small,Bransfield Strait; Drake Passage; South Atlantic Ocean,Fair,0.0
Guangzhou,China,23.116667,113.233333,Medium,South China Sea; North Pacific Ocean,Good,0.0
Ghazaouet,Algeria,35.1,-1.866667,Very Small,Mediterranean Sea; North Atlantic Ocean,Fair,0.0
Alger,Algeria,36.766667,3.066667,Large,Mediterranean Sea; North Atlantic Ocean,Excellent,0.0
Annaba,Algeria,36.916667,7.766667,Medium,Mediterranean Sea; North Atlantic Ocean,Fair,0.0
Famagusta,Cyprus,35.116667,33.933333,Small,Mediterranean Sea; North Atlantic Ocean,Fair,0.0
Larnaca,Cyprus,34.916667,33.65,Small,Mediterranean Sea; North Atlantic Ocean,Fair,0.0
Golfito,Costa Rica,8.633333,-83.166667,Small,North Pacific Ocean,Good,0.0
Jucaro,Cuba,21.616667,-78.84999999999998,Very Small,Caribbean Sea; North Atlantic Ocean,Poor,0.0
Collo,Algeria,37.0,6.583333,Very Small,Mediterranean Sea; North Atlantic Ocean,Good,760.0
Djen-Djen,Algeria,36.816667,5.883333,Very Small,Mediterranean Sea; North Atlantic Ocean,Fair,0.0
Jijel,Algeria,36.833333,5.783333,Very Small,Mediterranean Sea; North Atlantic Ocean,Fair,153.0
El Bosque,Colombia,10.4,-75.533333,Small,Caribbean Sea; North Atlantic Ocean,Good,0.0
Longkou Gang,China,37.633333,120.283333,Small,Bo Hai; Yellow Sea; North Pacific Ocean,Fair,0.0
Jinzhou Wan,China,40.75,121.1,Very Small,Bo Hai; Yellow Sea; North Pacific Ocean,Fair,0.0
Kyrenia,Cyprus,35.35,33.333333,Very Small,Mediterranean Sea; North Atlantic Ocean,Fair,0.0
Media Luna,Cuba,20.15,-77.433333,Very Small,Caribbean Sea; North Atlantic Ocean,Poor,0.0
Mamonal,Colombia,10.316667,-75.516667,Small,Caribbean Sea; North Atlantic Ocean,Poor,0.0
Dellys,Algeria,36.916667,3.916667,Very Small,Mediterranean Sea; North Atlantic Ocean,Fair,100.0
Huangpu,China,23.083333,113.416667,Small,South China Sea; North Pacific Ocean,Fair,0.0
Huludao Gang,China,40.7,120.983333,Very Small,Bo Hai; Yellow Sea; North Pacific Ocean,Good,0.0
Bayuquan,China,40.3,122.083333,Very Small,Bo Hai; Yellow Sea; North Pacific Ocean,Fair,0.0
Skikda,Algeria,36.883333,6.916667,Small,Mediterranean Sea; North Atlantic Ocean,Good,0.0
Tenes,Algeria,36.533333,1.316667,Very Small,Mediterranean Sea; North Atlantic Ocean,Fair,0.0
Sint Michelsbaai,Curacao,12.133333,-69.016667,Very Small,Caribbean Sea; North Atlantic Ocean,Poor,0.0
Porto Grande,Cabo Verde,16.883333,-25.0,Very Small,North Atlantic Ocean,Fair,0.0
Ras Shukhier,Egypt,28.133333,33.283333,Medium,Gulf of Suez; Red Sea; Indian Ocean,Fair,0.0
Ras Badran Oil Terminal,Egypt,28.95,33.166667,Very Small,Gulf of Suez; Red Sea; Indian Ocean,Poor,0.0
Penglai,China,37.816667,120.833333,Very Small,Yellow Sea; North Pacific Ocean,Fair,0.0
Wadi Feiran,Egypt,28.75,33.2,Small,Gulf of Suez; Red Sea; Indian Ocean,Fair,0.0
Sharm El Sheikh,Egypt,27.85,34.283333,Very Small,Red Sea; Indian Ocean,Poor,0.0
Tangshan (Jingtang),China,39.2,119.016667,Very Small,Bo Hai; Yellow Sea; North Pacific Ocean,Fair,0.0
Ras Sudr,Egypt,29.583333,32.7,Very Small,Gulf of Suez; Red Sea; Indian Ocean,Poor,0.0
Tunas De Zaza,Cuba,21.633333,-79.54999999999998,Very Small,Caribbean Sea; North Atlantic Ocean,Poor,0.0
Weihai,China,37.5,122.1,Medium,Yellow Sea; North Pacific Ocean,Excellent,0.0
San Pedro De Macoris,Dominican Republic,18.45,-69.316667,Small,Caribbean Sea; North Atlantic Ocean,Good,0.0
Ceuta,Spain,35.9,-5.316667,Medium,Strait of Gibraltar; North Atlantic Ocean,Fair,0.0
Nice,France,43.7,7.283333,Small,Mediterranean Sea; North Atlantic Ocean,Excellent,0.0
Fos,France,43.416667,4.883333,Very Small,Gulf of Lion; Mediterranean Sea; North Atlantic Ocean,Fair,0.0
Cadiz,Spain,36.533333,-6.3,Medium,North Atlantic Ocean,Good,0.0
Huelva,Spain,37.25,-6.95,Medium,North Atlantic Ocean,Good,0.0
Ferrol,Spain,43.483333,-8.233333,Medium,North Atlantic Ocean,Excellent,0.0
Gijon,Spain,43.55,-5.666667,Small,Bay of Biscay; North Atlantic Ocean,Good,0.0
Bayonne,France,43.5,-1.466667,Medium,Bay of Biscay; North Atlantic Ocean,Excellent,0.0
Nantes,France,47.2,-1.566667,Medium,Bay of Biscay; North Atlantic Ocean,Fair,0.0
Donges,France,47.3,-2.066667,Small,Bay of Biscay; North Atlantic Ocean,Excellent,0.0
Deauville,France,49.366667,0.083333,Very Small,English Channel; North Atlantic Ocean,Fair,0.0
Algeciras,Spain,36.133333,-5.433333,Small,Strait of Gibraltar; North Atlantic Ocean,Fair,0.0
Aviles,Spain,43.6,-5.933333,Small,Bay of Biscay; North Atlantic Ocean,Excellent,0.0
Motril,Spain,36.75,-3.516667,Very Small,Mediterranean Sea; North Atlantic Ocean,Fair,0.0
Almeria,Spain,36.833333,-2.466667,Small,Mediterranean Sea; North Atlantic Ocean,Fair,0.0
El Grao,Spain,39.966667,0.016667,Very Small,Balearic Sea; Mediterranean Sea; North Atlantic Ocean,Fair,0.0
Ibiza,Spain,38.9,1.45,Very Small,Mediterranean Sea; North Atlantic Ocean,Fair,0.0
Bonifacio,France,41.383333,9.166667,Very Small,Mediterranean Sea; North Atlantic Ocean,Excellent,0.0
Concarneau,France,47.866667,-3.916667,Very Small,Bay of Biscay; North Atlantic Ocean,Fair,0.0
Fecamp,France,49.766667,0.366667,Small,English Channel; North Atlantic Ocean,Fair,0.0
Montoir,France,47.3,-2.133333,Medium,Bay of Biscay; North Atlantic Ocean,Good,0.0
Bermeo,Spain,43.416667,-2.716667,Very Small,Bay of Biscay; North Atlantic Ocean,Excellent,0.0
Adra,Spain,36.733333,-3.033333,Very Small,Mediterranean Sea; North Atlantic Ocean,Fair,0.0
Aguilas,Spain,37.4,-1.566667,Very Small,Mediterranean Sea; North Atlantic Ocean,Fair,0.0
Puerto De Gandia,Spain,39.0,-0.15,Very Small,Balearic Sea; Mediterranean Sea; North Atlantic Ocean,Poor,0.0
Port De Caen,France,49.183333,-0.35,Small,English Channel; North Atlantic Ocean,Excellent,0.0
Santander,Spain,43.466667,-3.783333,Medium,Bay of Biscay; North Atlantic Ocean,Good,0.0
Torrevieja,Spain,37.966667,-0.683333,Very Small,Mediterranean Sea; North Atlantic Ocean,Good,0.0
Saint-Raphael,France,43.416667,6.766667,Very Small,Mediterranean Sea; North Atlantic Ocean,Fair,0.0
Puerto De Garrucha,Spain,37.183333,-1.816667,Very Small,Mediterranean Sea; North Atlantic Ocean,Fair,0.0
Rota,Spain,36.616667,-6.333333,Very Small,North Atlantic Ocean,Fair,0.0
Ouistreham,France,49.283333,-0.25,Very Small,English Channel; North Atlantic Ocean,Good,0.0
Santa Cruz De La Palma,Spain,28.683333,-17.75,Very Small,North Atlantic Ocean,Fair,0.0
Port-de-Bouc,France,43.4,4.983333,Small,Gulf of Lion; Mediterranean Sea; North Atlantic Ocean,Fair,0.0
Port-La-Nouvelle,France,43.016667,3.066667,Small,Gulf of Lion; Mediterranean Sea; North Atlantic Ocean,Good,0.0
Iwakuni Ko,Japan,34.183333,132.25,Medium,Sea of Japan; North Pacific Ocean,Good,0.0
Muntok,Indonesia,-2.066667,105.166667,Very Small,Natuna Sea; South China Sea; South Pacific Ocean,Fair,0.0
Manfredonia,Italy,41.616667,15.916667,Small,Adriatic Sea; Mediterranean Sea; North Atlantic Ocean,Fair,0.0
Civitavecchia,Italy,42.102,11.771,Large,Tyrrhenian Sea; Mediterranean Sea; North Atlantic Ocean,Fair,0.0
Korcula,Croatia,42.933333,17.133333,Very Small,Adriatic Sea; Mediterranean Sea; North Atlantic Ocean,Fair,0.0
Aigio,Greece,38.25,22.083333,Very Small,Ionian Sea; Mediterranean Sea; North Atlantic Ocean,Fair,0.0
Maddalena,Italy,41.208,9.403,Small,Tyrrhenian Sea; Mediterranean Sea; North Atlantic Ocean,Good,0.0
Imperia,Italy,43.883333,8.033333,Small,Mediterranean Sea; North Atlantic Ocean,Fair,0.0
Marsala,Italy,37.783333,12.433333,Small,Mediterranean Sea; North Atlantic Ocean,Fair,0.0
Mazara Del Vallo,Italy,37.644,12.592,Small,Mediterranean Sea; North Atlantic Ocean,Fair,0.0
Banten,Indonesia,-6.016667,105.966667,Very Small,"Indian Ocean, Java Sea; South Pacific Ocean",Poor,0.0
North Pulau Laut Coal Terminal,Indonesia,-3.2,116.283333,Very Small,Makassar Strait; South Pacific Ocean,Poor,0.0
Kupang,Indonesia,-10.166667,123.583333,Small,Savu Sea; Indian Ocean,Fair,0.0
Khorramshahr,Iran,30.433333,48.183333,Medium,Persian Gulf; Indian Ocean,Good,0.0
Anyer Lor,Indonesia,-6.05,105.916667,Very Small,Indian Ocean,Fair,0.0
Ampenan,Indonesia,-8.566667,116.066667,Very Small,Bali Sea; Java Sea; South Pacific Ocean,Poor,0.0
Dugi Rat,Croatia,43.45,16.65,Very Small,Adriatic Sea; Mediterranean Sea; North Atlantic Ocean,Fair,0.0
Nisos Naxos,Greece,37.1,25.366667,Very Small,Aegean Sea; Mediterranean Sea; North Atlantic Ocean,Fair,0.0
Imari,Japan,33.283333,129.883333,Very Small,Korea Strait; North Pacific Ocean,Fair,0.0
Hososhima Ko,Japan,32.433333,131.666667,Very Small,East China Sea; North Pacific Ocean,Fair,0.0
