port_name,country,latitude,longitude,port_size,water_body,shelter,max_vessel_size
Cairns,Australia,-16.916667,145.783333,Small,Coral Sea; South Pacific Ocean,Good,294.0
Townsville,Australia,-19.266667,146.816667,Small,Coral Sea; South Pacific Ocean,Fair,238.0
Cape Flattery Harbor,Australia,-14.95,145.35,Small,Coral Sea; South Pacific Ocean,Fair,195.0
Devonport,Australia,-41.183333,146.366667,Small,Bass Strait; South Pacific Ocean,Excellent,348.0
Port Huon,Australia,-43.166667,146.983333,Very Small,South Pacific Ocean,Good,116.0
Hamad,Qatar,25.016666667,51.6,Small,Persian Gulf; Indian Ocean, ,398.0
Burnie,Australia,-41.05,145.95,Small,Bass Strait; South Pacific Ocean,Excellent,294.0
Lucinda,Australia,-18.516667,146.333333,Very Small,Coral Sea; South Pacific Ocean,Fair,225.0
Timaru,New Zealand,-44.4,171.25,Small,South Pacific Ocean,Excellent,286.0
Port Lyttelton,New Zealand,-43.6,172.716667,Very Small,South Pacific Ocean,Excellent,362.0
Otago Harbor,New Zealand,-45.816667,170.633333,Small,South Pacific Ocean,Good,348.0
Batsfjord,Norway,70.634722222,29.737222222,Small,Barents Sea; Arctic Ocean,Good,0.0
Noumea,New Caledonia,-22.283333,166.433333,Small,Coral Sea; South Pacific Ocean,Excellent,262.0
Savusavu Bay,Fiji,-16.766667,179.333333,Very Small,South Pacific Ocean,Fair,110.0
San Lorenzo,Argentina,-32.75,-60.733333,Very Small,Rio de la Plata; South Atlantic Ocean,Excellent,254.0
Baie De Kouaoua,New Caledonia,-21.383333,165.816667,Very Small,Coral Sea; South Pacific Ocean,Fair,161.0
Baie Ugue,New Caledonia,-21.15,165.55,Very Small,Coral Sea; South Pacific Ocean,Fair,190.0
Pangai,Tonga,-19.8,-174.35,Very Small,South Pacific Ocean,Fair,0.0
Al Fujayrah,United Arab Emirates,25.173055556,56.369166667,Small,Gulf of Oman; Indian Ocean,Fair,344.0
Malai,Fiji,-16.35,179.366667,Very Small,South Pacific Ocean,Good,179.0
Lautoka Harbor,Fiji,-17.6,177.45,Very Small,South Pacific Ocean,Good,330.0
Suva Harbor,Fiji,-18.133333,178.416667,Small,South Pacific Ocean,Good,293.0
Orkanger,Norway,63.31666667,9.85,Small,Norwegian Sea; North Atlantic Ocean,Good,0.0
Avatiu,Cook Islands,-21.2,-159.783333,Very Small,South Pacific Ocean,Good,120.0
Rosario,Argentina,-32.95,-60.633333,Medium,Rio de la Plata; South Atlantic Ocean,Excellent,0.0
Levuka,Fiji,-17.683333,178.833333,Small,South Pacific Ocean,Good,171.0
Neiafu,Tonga,-18.65,-173.983333,Very Small,South Pacific Ocean,Good,120.0
Mata-Utu,Wallis and Futuna,-13.283333,-176.133333,Very Small,South Pacific Ocean,Fair,0.0
Midway Island,Midway Islands,28.183333,-177.366667,Very Small,North Pacific Ocean,Good,0.0
Alofi,Niue,-19.033333,-169.933333,Very Small,South Pacific Ocean,Good,0.0
Pago Pago Harbor,American Samoa,-14.283333,-170.666667,Small,South Pacific Ocean,Good,0.0
Nuku Alofa,Tonga,-21.133333,-175.2,Very Small,South Pacific Ocean,Good,300.0
Ambon,Indonesia,-3.683333,128.166667,Small,Banda Sea; South Pacific Ocean,Fair,200.0
Tg. Sorong,Indonesia,-0.883333,131.233333,Small,South Pacific Ocean,Fair,175.0
Banjul,The Gambia,13.45,-16.566667,Very Small,North Atlantic Ocean,Fair,0.0
Bonny,Nigeria,4.45,7.166667,Medium,Gulf of Guinea; North Atlantic Ocean,Good,299.9
Esmeraldas,Ecuador,1.0,-79.65,Very Small,North Pacific Ocean,Fair,230.0
Guayaquil,Ecuador,-2.2,-79.88333299999998,Small,South Pacific Ocean,Good,212.5
Conchan Oil Terminal,Peru,-12.166667,-77.0,Very Small,South Pacific Ocean,Unknown,0.0
Iquique,Chile,-20.2,-70.166667,Small,South Pacific Ocean,Good,0.0
La Salina,Venezuela,10.366667,-71.466667,Small,Caribbean Sea; North Atlantic Ocean,Fair,274.0
Maracaibo,Venezuela,10.633333,-71.6,Medium,Caribbean Sea; North Atlantic Ocean,Excellent,199.9
Arroyo,Puerto Rico,17.966667,-66.066667,Small,Caribbean Sea; North Atlantic Ocean,Poor,0.0
Bahia De Sagua De Tanamo,Cuba,20.683333,-75.33333299999998,Large,North Atlantic Ocean,Excellent,106.0
Onne,Nigeria,4.683333,7.15,Very Small,Gulf of Guinea; North Atlantic Ocean,Fair,305.0
Antilla,Cuba,20.833333,-75.733333,Large,North Atlantic Ocean,Excellent,169.0
Nicaro,Cuba,20.716667,-75.54999999999998,Small,North Atlantic Ocean,Excellent,0.0
Aguadilla,Puerto Rico,18.433333,-67.15,Very Small,North Atlantic Ocean,Fair,0.0
Bahia De Jobos,Puerto Rico,17.95,-66.183333,Very Small,Caribbean Sea; North Atlantic Ocean,Fair,0.0
Mayaguez,Puerto Rico,18.2,-67.15,Small,North Atlantic Ocean,Excellent,0.0
Bajo Grande,Venezuela,10.516667,-71.633333,Very Small,Caribbean Sea; North Atlantic Ocean,Fair,213.0
Caleta Patillos,Chile,-20.733333,-70.2,Very Small,South Pacific Ocean,Fair,0.0
Bahia De Ancon,Peru,-11.75,-77.183333,Very Small,South Pacific Ocean,Fair,0.0
Caleta Lobitos,Peru,-4.45,-81.283333,Very Small,South Pacific Ocean,Poor,0.0
La Libertad,Ecuador,-2.216667,-80.916667,Very Small,South Pacific Ocean,Fair,200.0
Arecibo,Puerto Rico,18.483333,-66.7,Very Small,North Atlantic Ocean,Good,0.0
Las Mareas,Puerto Rico,17.95,-66.166667,Very Small,Caribbean Sea; North Atlantic Ocean,Poor,0.0
El Tabiazo,Venezuela,10.766667,-71.533333,Very Small,Caribbean Sea; North Atlantic Ocean,Poor,0.0
Okrika,Nigeria,4.716667,7.083333,Very Small,Gulf of Guinea; North Atlantic Ocean,Fair,200.0
Puerto Calderilla,Chile,-27.083333,-70.866667,Very Small,South Pacific Ocean,Good,0.0
Qua Iboe Oil Terminal,Nigeria,4.233333,8.033333,Very Small,Gulf of Guinea; North Atlantic Ocean,Poor,0.0
Puerto Caldera,Chile,-27.05,-70.833333,Very Small,South Pacific Ocean,Fair,0.0
Rio Cacheu,Guinea-Bissau,12.283333,-16.233333,Very Small,North Atlantic Ocean,Good,0.0
Puerto Maritimo De Guayaquil,Ecuador,-2.283333,-79.9,Small,South Pacific Ocean,Excellent,0.0
Punta De Palmas,Venezuela,10.783333,-71.583333,Very Small,Caribbean Sea; North Atlantic Ocean,Fair,0.0
Puerto De Huacho,Peru,-11.116667,-77.616667,Very Small,South Pacific Ocean,Fair,0.0
Puerto Bayovar,Peru,-5.833333,-81.04999999999998,Very Small,South Pacific Ocean,Poor,0.0
Tumaco,Colombia,1.816667,-78.75,Very Small,North Pacific Ocean,Poor,0.0
Puerto Del Callao,Peru,-12.05,-77.15,Medium,South Pacific Ocean,Good,0.0
Puerto Miranda,Venezuela,10.766667,-71.566667,Small,Caribbean Sea; North Atlantic Ocean,Fair,277.4
Talara,Peru,-4.583333,-81.283333,Small,South Pacific Ocean,Fair,230.0
San Juan,Puerto Rico,18.466667,-66.116667,Small,North Atlantic Ocean,Excellent,0.0
Serpentina Terminal,Equatorial Guinea,3.8,8.083333,Very Small,Gulf of Guinea; North Atlantic Ocean,Poor,0.0
Puerto Chanaral,Chile,-26.35,-70.65,Very Small,South Pacific Ocean,Fair,200.0
Paita,Peru,-5.083333,-81.116667,Very Small,South Pacific Ocean,Fair,0.0
Playa De Guanica,Puerto Rico,17.966667,-66.916667,Small,Caribbean Sea; North Atlantic Ocean,Good,0.0
Puerto Bolivar,Ecuador,-3.266667,-80.0,Very Small,South Pacific Ocean,Good,300.1
Playa De Ponce,Puerto Rico,17.983333,-66.616667,Medium,Caribbean Sea; North Atlantic Ocean,Fair,0.0
Playa De Guayanilla,Puerto Rico,18.016667,-66.766667,Medium,Caribbean Sea; North Atlantic Ocean,Fair,0.0
Port Harcourt,Nigeria,4.766667,7.0,Very Small,Gulf of Guinea; North Atlantic Ocean,Fair,199.9
Qinzhou,China,21.733333,108.583333,Very Small,Gulf of Tonkin; South China Sea; North Pacific Ocean,Fair,366.0
Da Nang,Vietnam,16.1,108.216667,Small,South China Sea; North Pacific Ocean,Fair,335.0
Zhanjiang,China,21.2,110.4,Small,South China Sea; North Pacific Ocean,Good,362.0
Haikou,China,20.05,110.283333,Very Small,South China Sea; North Pacific Ocean,Fair,263.2
Port Moresby,Papua New Guinea,-9.466667,147.133333,Small,Coral Sea; South Pacific Ocean,Fair,211.0
Rabaul,Papua New Guinea,-4.2,152.183333,Small,Bismarck Sea; South Pacific Ocean,Excellent,0.0
Beihai,China,21.483333,109.066667,Very Small,Gulf of Tonkin; South China Sea; North Pacific Ocean,Good,315.0
Dili,Timor-Leste,-8.533333,125.583333,Small,Banda Sea; South Pacific Ocean,Good,140.0
Basuo,China,19.1,108.616667,Small,Gulf of Tonkin; South China Sea; North Pacific Ocean,Good,229.0
Sanya,China,18.316667,109.45,Very Small,Gulf of Tonkin; South China Sea; North Pacific Ocean,Fair,261.0
Yangpu,China,19.733333,109.183333,Very Small,Gulf of Tonkin; South China Sea; North Pacific Ocean,Poor,340.0
Nghe Tinh,Vietnam,18.766667,105.766667,Small,Gulf of Tonkin; South China Sea; North Pacific Ocean,Fair,183.0
Kavieng Harbor,Papua New Guinea,-2.583333,150.8,Small,South Pacific Ocean,Excellent,0.0
Shui Dong,China,21.483333,111.083333,Very Small,South China Sea; North Pacific Ocean,Fair,200.0
Cam Pha,Vietnam,21.033333,107.366667,Very Small,Gulf of Tonkin; South China Sea; North Pacific Ocean,Fair,200.0
Oro Bay,Papua New Guinea,-8.883333,148.483333,Very Small,Solomon Sea; South Pacific Ocean,Good,0.0
Jayapura,Indonesia,-2.533333333,140.716666667,Small,South Pacific Ocean,Good,211.9
Tanah Merah,Indonesia,-1.816667,116.166667,Very Small,Makassar Strait; South Pacific Ocean,Poor,129.3
Okwori Terminal,Nigeria,3.85,6.983333,Very Small,Gulf of Guinea; North Atlantic Ocean,Poor,0.0
Okono Terminal,Nigeria,3.983333,7.3,Very Small,Gulf of Guinea; North Atlantic Ocean,Poor,0.0
Odudu Terminal,Nigeria,4.0,7.766667,Very Small,Gulf of Guinea; North Atlantic Ocean,Poor,0.0
Bahia Blanca,Argentina,-38.783333,-62.266667,Very Small,South Atlantic Ocean,Good,0.0
Bonny Offshore Terminal,Nigeria,4.183333,7.233333,Very Small,Gulf of Guinea; North Atlantic Ocean,Poor,0.0
Jabung Batanghari Marine Terminal,Indonesia,-0.916667,104.066667,Very Small,Natuna Sea; South China Sea; South Pacific Ocean,Poor,0.0
Chi-Lung,Taiwan,25.133333,121.766667,Large,East China Sea; North Pacific Ocean,Good,347.0
