date,BZ=F,CL=F,NG=F,HO=F,GC=F,SI=F,HG=F,SLX,ZS=F,ZC=F,SB=F,KC=F,ZW=F,ZIM,MATX,DAC,SBLK,BDRY,DX-Y.NYB,EURUSD=X,BRL=X,CNY=X,JPY=X,^VIX,^GSPC,^TNX
2020-01-01,,,,,,,,,,,,,,,,,,,,1.1220825910568235,4.016786098480225,6.962299823760986,108.68099975585938,,,
2020-01-02,66.25,61.18000030517578,2.121999979019165,2.0241000652313232,1524.5,17.965999603271484,2.8329999446868896,38.0099983215332,944.25,391.5,13.130000114440918,127.0999984741211,560.25,,40.310001373291016,9.399999618530272,11.449999809265137,13.961000442504885,96.8499984741211,1.1220825910568235,4.016300201416016,6.962200164794922,108.71299743652344,12.470000267028809,3257.85009765625,1.8819999694824217
2020-01-03,68.5999984741211,63.04999923706055,2.130000114440918,2.0613999366760254,1549.199951171875,18.06800079345703,2.798500061035156,37.47999954223633,930.5,386.5,13.3100004196167,126.3499984741211,554.5,,39.72999954223633,9.1899995803833,11.0600004196167,13.050000190734863,96.83999633789062,1.1171437501907349,4.023399829864502,6.963399887084961,108.54299926757812,14.020000457763672,3234.85009765625,1.787999987602234
2020-01-04,68.5999984741211,63.04999923706055,2.130000114440918,2.0613999366760254,1549.199951171875,18.06800079345703,2.798500061035156,37.47999954223633,930.5,386.5,13.3100004196167,126.3499984741211,554.5,,39.72999954223633,9.1899995803833,11.0600004196167,13.050000190734863,96.83999633789062,1.1171437501907349,4.023399829864502,6.963399887084961,108.54299926757812,14.020000457763672,3234.85009765625,1.787999987602234
2020-01-05,68.5999984741211,63.04999923706055,2.130000114440918,2.0613999366760254,1549.199951171875,18.06800079345703,2.798500061035156,37.47999954223633,930.5,386.5,13.3100004196167,126.3499984741211,554.5,,39.72999954223633,9.1899995803833,11.0600004196167,13.050000190734863,96.83999633789062,1.1171437501907349,4.023399829864502,6.963399887084961,108.54299926757812,14.020000457763672,3234.85009765625,1.787999987602234
2020-01-06,68.91000366210938,63.27000045776367,2.134999990463257,2.033900022506714,1566.199951171875,18.097000122070312,2.80049991607666,37.119998931884766,932.75,384.75,13.729999542236328,122.1500015258789,550.0,,39.29999923706055,9.609999656677246,11.199999809265137,11.920000076293944,96.66999816894533,1.1161960363388062,4.057000160217285,6.964499950408936,107.96399688720705,13.850000381469728,3246.280029296875,1.8109999895095823
2020-01-07,68.2699966430664,62.70000076293945,2.1619999408721924,2.032399892807007,1571.800048828125,18.31599998474121,2.803999900817871,37.380001068115234,935.0,384.5,13.59000015258789,122.4000015258789,550.25,,38.93000030517578,9.579999923706056,11.760000228881836,11.895000457763672,96.9800033569336,1.1197994947433472,4.060400009155273,6.974500179290772,108.40599822998048,13.789999961853027,3237.179931640625,1.8270000219345093
2020-01-08,65.44000244140625,59.61000061035156,2.1410000324249268,1.958199977874756,1557.4000244140625,18.08799934387207,2.819000005722046,37.5,938.25,384.25,13.470000267028809,119.1500015258789,552.75,,38.84000015258789,9.4399995803833,11.550000190734863,13.654999732971191,97.3000030517578,1.1154738664627075,4.066199779510498,6.944399833679199,108.01599884033205,13.449999809265137,3253.050048828125,1.8739999532699585
2020-01-09,65.37000274658203,59.560001373291016,2.1659998893737797,1.9500999450683596,1551.699951171875,17.860000610351562,2.810499906539917,37.25,933.75,383.25,13.710000038146973,117.3499984741211,562.25,,38.470001220703125,9.43000030517578,11.479999542236328,13.3100004196167,97.4499969482422,1.1113210916519165,4.06279993057251,6.945199966430664,109.03099822998048,12.539999961853027,3274.699951171875,1.8580000400543213
2020-01-10,64.9800033569336,59.040000915527344,2.20199990272522,1.928400039672852,1557.5,18.03300094604492,2.81850004196167,36.97999954223633,935.0,385.75,14.06999969482422,118.9499969482422,564.5,,38.38999938964844,9.3100004196167,11.020000457763672,13.845000267028809,97.36000061035156,1.1111111640930176,4.092100143432617,6.951700210571289,109.50700378417967,12.5600004196167,3265.35009765625,1.825000047683716
